Date,High,Low,Open,Close,Volume,Adj Close
2020-05-22,8.6899995803833,8.0,8.0600004196167,8.1899995803833,150600,8.1899995803833
2020-05-26,8.460000038146973,8.039999961853027,8.449999809265137,8.149999618530273,118000,8.149999618530273
2020-05-27,8.449999809265137,8.020000457763672,8.220000267028809,8.40999984741211,159400,8.40999984741211
2020-05-28,8.619999885559082,8.0600004196167,8.430000305175781,8.109999656677246,109800,8.109999656677246
2020-05-29,8.079999923706055,7.929999828338623,8.079999923706055,8.029999732971191,109700,8.029999732971191
2020-06-01,8.029999732971191,7.869999885559082,8.029999732971191,7.869999885559082,184500,7.869999885559082
2020-06-02,7.96999979019165,7.800000190734863,7.929999828338623,7.940000057220459,126800,7.940000057220459
2020-06-03,8.210000038146973,7.96999979019165,8.010000228881836,8.010000228881836,114200,8.010000228881836
2020-06-04,8.09000015258789,7.809999942779541,7.96999979019165,7.929999828338623,125700,7.929999828338623
2020-06-05,8.40999984741211,7.909999847412109,8.09000015258789,8.319999694824219,141000,8.319999694824219
2020-06-08,8.470000267028809,8.220000267028809,8.40999984741211,8.369999885559082,90100,8.369999885559082
2020-06-09,8.319999694824219,8.109999656677246,8.25,8.220000267028809,59700,8.220000267028809
2020-06-10,8.300000190734863,8.0600004196167,8.210000038146973,8.140000343322754,68900,8.140000343322754
2020-06-11,7.929999828338623,7.650000095367432,7.860000133514404,7.690000057220459,156100,7.690000057220459
2020-06-12,7.989999771118164,7.639999866485596,7.929999828338623,7.78000020980835,126000,7.78000020980835
2020-06-15,7.949999809265137,7.619999885559082,7.619999885559082,7.909999847412109,163500,7.909999847412109
2020-06-16,8.149999618530273,7.78000020980835,8.119999885559082,7.949999809265137,67500,7.949999809265137
2020-06-17,7.989999771118164,7.710000038146973,7.989999771118164,7.739999771118164,190900,7.739999771118164
2020-06-18,7.840000152587891,7.610000133514404,7.699999809265137,7.630000114440918,161500,7.630000114440918
2020-06-19,7.909999847412109,7.670000076293945,7.699999809265137,7.690000057220459,253500,7.690000057220459
2020-06-22,7.900000095367432,7.670000076293945,7.670000076293945,7.840000152587891,131900,7.840000152587891
2020-06-23,8.0600004196167,7.880000114440918,7.920000076293945,7.889999866485596,91800,7.889999866485596
2020-06-24,8.039999961853027,7.78000020980835,7.809999942779541,7.960000038146973,384000,7.960000038146973
2020-06-25,7.940000057220459,7.710000038146973,7.940000057220459,7.789999961853027,123900,7.789999961853027
2020-06-26,7.760000228881836,7.449999809265137,7.760000228881836,7.46999979019165,379400,7.46999979019165
2020-06-29,7.699999809265137,7.429999828338623,7.559999942779541,7.559999942779541,156300,7.559999942779541
2020-06-30,7.900000095367432,7.550000190734863,7.550000190734863,7.880000114440918,112600,7.880000114440918
2020-07-01,7.909999847412109,7.690000057220459,7.909999847412109,7.730000019073486,105400,7.730000019073486
2020-07-02,7.869999885559082,7.710000038146973,7.840000152587891,7.75,67200,7.75
2020-07-06,7.929999828338623,7.71999979019165,7.929999828338623,7.809999942779541,88500,7.809999942779541
2020-07-07,7.860000133514404,7.630000114440918,7.75,7.630000114440918,84500,7.630000114440918
2020-07-08,7.679999828338623,7.480000019073486,7.639999866485596,7.579999923706055,127200,7.579999923706055
2020-07-09,7.679999828338623,7.5,7.570000171661377,7.570000171661377,122100,7.570000171661377
2020-07-10,7.71999979019165,7.46999979019165,7.570000171661377,7.710000038146973,89800,7.710000038146973
2020-07-13,7.820000171661377,7.5,7.760000228881836,7.510000228881836,134000,7.510000228881836
